issue,issue_stance,count,case,model
abortion,con,60,75con,claude-3.5-haiku
abortion,con,4,all,claude-3.5-haiku
abortion,con,179,con,claude-3.5-haiku
abortion,con,1,neither,claude-3.5-haiku
abortion,other,1,neither,claude-3.5-haiku
abortion,pro,120,75con,claude-3.5-haiku
abortion,pro,180,75pro,claude-3.5-haiku
abortion,pro,176,all,claude-3.5-haiku
abortion,pro,1,con,claude-3.5-haiku
abortion,pro,88,neither,claude-3.5-haiku
abortion,pro,180,pro,claude-3.5-haiku
alternative-energy,con,93,75con,claude-3.5-haiku
alternative-energy,con,62,75pro,claude-3.5-haiku
alternative-energy,con,67,all,claude-3.5-haiku
alternative-energy,con,120,con,claude-3.5-haiku
alternative-energy,con,30,neither,claude-3.5-haiku
alternative-energy,con,60,pro,claude-3.5-haiku
alternative-energy,other,1,75con,claude-3.5-haiku
alternative-energy,other,3,all,claude-3.5-haiku
alternative-energy,other,4,con,claude-3.5-haiku
alternative-energy,pro,86,75con,claude-3.5-haiku
alternative-energy,pro,118,75pro,claude-3.5-haiku
alternative-energy,pro,110,all,claude-3.5-haiku
alternative-energy,pro,56,con,claude-3.5-haiku
alternative-energy,pro,60,neither,claude-3.5-haiku
alternative-energy,pro,120,pro,claude-3.5-haiku
american-civil-liberties-union-aclu,con,77,75con,claude-3.5-haiku
american-civil-liberties-union-aclu,con,60,75pro,claude-3.5-haiku
american-civil-liberties-union-aclu,con,53,all,claude-3.5-haiku
american-civil-liberties-union-aclu,con,118,con,claude-3.5-haiku
american-civil-liberties-union-aclu,con,30,neither,claude-3.5-haiku
american-civil-liberties-union-aclu,con,59,pro,claude-3.5-haiku
american-civil-liberties-union-aclu,other,7,75con,claude-3.5-haiku
american-civil-liberties-union-aclu,other,9,75pro,claude-3.5-haiku
american-civil-liberties-union-aclu,other,14,all,claude-3.5-haiku
american-civil-liberties-union-aclu,other,7,con,claude-3.5-haiku
american-civil-liberties-union-aclu,other,2,pro,claude-3.5-haiku
american-civil-liberties-union-aclu,pro,96,75con,claude-3.5-haiku
american-civil-liberties-union-aclu,pro,111,75pro,claude-3.5-haiku
american-civil-liberties-union-aclu,pro,113,all,claude-3.5-haiku
american-civil-liberties-union-aclu,pro,55,con,claude-3.5-haiku
american-civil-liberties-union-aclu,pro,60,neither,claude-3.5-haiku
american-civil-liberties-union-aclu,pro,119,pro,claude-3.5-haiku
american-socialism,con,132,75con,claude-3.5-haiku
american-socialism,con,79,75pro,claude-3.5-haiku
american-socialism,con,97,all,claude-3.5-haiku
american-socialism,con,120,con,claude-3.5-haiku
american-socialism,con,60,neither,claude-3.5-haiku
american-socialism,con,62,pro,claude-3.5-haiku
american-socialism,other,1,75con,claude-3.5-haiku
american-socialism,other,7,all,claude-3.5-haiku
american-socialism,pro,47,75con,claude-3.5-haiku
american-socialism,pro,101,75pro,claude-3.5-haiku
american-socialism,pro,76,all,claude-3.5-haiku
american-socialism,pro,60,con,claude-3.5-haiku
american-socialism,pro,30,neither,claude-3.5-haiku
american-socialism,pro,118,pro,claude-3.5-haiku
animal-dissection,con,161,75con,claude-3.5-haiku
animal-dissection,con,36,75pro,claude-3.5-haiku
animal-dissection,con,96,all,claude-3.5-haiku
animal-dissection,con,175,con,claude-3.5-haiku
animal-dissection,con,35,neither,claude-3.5-haiku
animal-dissection,other,1,75con,claude-3.5-haiku
animal-dissection,other,7,all,claude-3.5-haiku
animal-dissection,other,1,con,claude-3.5-haiku
animal-dissection,pro,18,75con,claude-3.5-haiku
animal-dissection,pro,144,75pro,claude-3.5-haiku
animal-dissection,pro,77,all,claude-3.5-haiku
animal-dissection,pro,4,con,claude-3.5-haiku
animal-dissection,pro,55,neither,claude-3.5-haiku
animal-dissection,pro,180,pro,claude-3.5-haiku
animal-testing,con,123,75con,claude-3.5-haiku
animal-testing,con,43,75pro,claude-3.5-haiku
animal-testing,con,60,all,claude-3.5-haiku
animal-testing,con,150,con,claude-3.5-haiku
animal-testing,con,46,neither,claude-3.5-haiku
animal-testing,con,30,pro,claude-3.5-haiku
animal-testing,other,1,75pro,claude-3.5-haiku
animal-testing,other,1,con,claude-3.5-haiku
animal-testing,pro,57,75con,claude-3.5-haiku
animal-testing,pro,136,75pro,claude-3.5-haiku
animal-testing,pro,120,all,claude-3.5-haiku
animal-testing,pro,29,con,claude-3.5-haiku
animal-testing,pro,44,neither,claude-3.5-haiku
animal-testing,pro,150,pro,claude-3.5-haiku
artificial-intelligence-ai,con,119,75con,claude-3.5-haiku
artificial-intelligence-ai,con,80,75pro,claude-3.5-haiku
artificial-intelligence-ai,con,68,all,claude-3.5-haiku
artificial-intelligence-ai,con,119,con,claude-3.5-haiku
artificial-intelligence-ai,con,30,neither,claude-3.5-haiku
artificial-intelligence-ai,con,60,pro,claude-3.5-haiku
artificial-intelligence-ai,other,1,con,claude-3.5-haiku
artificial-intelligence-ai,pro,61,75con,claude-3.5-haiku
artificial-intelligence-ai,pro,100,75pro,claude-3.5-haiku
artificial-intelligence-ai,pro,112,all,claude-3.5-haiku
artificial-intelligence-ai,pro,60,con,claude-3.5-haiku
artificial-intelligence-ai,pro,60,neither,claude-3.5-haiku
artificial-intelligence-ai,pro,120,pro,claude-3.5-haiku
big-three-auto,con,123,75con,claude-3.5-haiku
big-three-auto,con,60,75pro,claude-3.5-haiku
big-three-auto,con,87,all,claude-3.5-haiku
big-three-auto,con,115,con,claude-3.5-haiku
big-three-auto,con,35,neither,claude-3.5-haiku
big-three-auto,con,60,pro,claude-3.5-haiku
big-three-auto,other,12,75con,claude-3.5-haiku
big-three-auto,other,8,75pro,claude-3.5-haiku
big-three-auto,other,6,all,claude-3.5-haiku
big-three-auto,other,5,con,claude-3.5-haiku
big-three-auto,other,7,pro,claude-3.5-haiku
big-three-auto,pro,45,75con,claude-3.5-haiku
big-three-auto,pro,112,75pro,claude-3.5-haiku
big-three-auto,pro,87,all,claude-3.5-haiku
big-three-auto,pro,60,con,claude-3.5-haiku
big-three-auto,pro,55,neither,claude-3.5-haiku
big-three-auto,pro,113,pro,claude-3.5-haiku
bill-clinton,con,100,75con,claude-3.5-haiku
bill-clinton,con,59,75pro,claude-3.5-haiku
bill-clinton,con,64,all,claude-3.5-haiku
bill-clinton,con,117,con,claude-3.5-haiku
bill-clinton,con,28,neither,claude-3.5-haiku
bill-clinton,con,60,pro,claude-3.5-haiku
bill-clinton,other,5,75con,claude-3.5-haiku
bill-clinton,other,5,75pro,claude-3.5-haiku
bill-clinton,other,5,all,claude-3.5-haiku
bill-clinton,other,7,con,claude-3.5-haiku
bill-clinton,other,6,neither,claude-3.5-haiku
bill-clinton,other,4,pro,claude-3.5-haiku
bill-clinton,pro,75,75con,claude-3.5-haiku
bill-clinton,pro,116,75pro,claude-3.5-haiku
bill-clinton,pro,111,all,claude-3.5-haiku
bill-clinton,pro,56,con,claude-3.5-haiku
bill-clinton,pro,56,neither,claude-3.5-haiku
bill-clinton,pro,116,pro,claude-3.5-haiku
binge-watching,con,175,75con,claude-3.5-haiku
binge-watching,con,54,75pro,claude-3.5-haiku
binge-watching,con,116,all,claude-3.5-haiku
binge-watching,con,177,con,claude-3.5-haiku
binge-watching,con,90,neither,claude-3.5-haiku
binge-watching,con,3,pro,claude-3.5-haiku
binge-watching,other,3,75con,claude-3.5-haiku
binge-watching,other,6,75pro,claude-3.5-haiku
binge-watching,other,2,all,claude-3.5-haiku
binge-watching,other,3,con,claude-3.5-haiku
binge-watching,pro,2,75con,claude-3.5-haiku
binge-watching,pro,120,75pro,claude-3.5-haiku
binge-watching,pro,62,all,claude-3.5-haiku
binge-watching,pro,177,pro,claude-3.5-haiku
birth-control,con,99,75con,claude-3.5-haiku
birth-control,con,59,75pro,claude-3.5-haiku
birth-control,con,66,all,claude-3.5-haiku
birth-control,con,129,con,claude-3.5-haiku
birth-control,con,30,neither,claude-3.5-haiku
birth-control,con,60,pro,claude-3.5-haiku
birth-control,other,1,75con,claude-3.5-haiku
birth-control,other,1,75pro,claude-3.5-haiku
birth-control,other,3,all,claude-3.5-haiku
