issue,issue_stance,count,case,model
abortion,con,69,75con,claude-opus-4
abortion,con,6,75pro,claude-opus-4
abortion,con,21,all,claude-opus-4
abortion,con,105,con,claude-opus-4
abortion,con,22,neither,claude-opus-4
abortion,other,10,75con,claude-opus-4
abortion,other,8,75pro,claude-opus-4
abortion,other,4,all,claude-opus-4
abortion,other,12,con,claude-opus-4
abortion,other,34,neither,claude-opus-4
abortion,other,1,pro,claude-opus-4
abortion,pro,101,75con,claude-opus-4
abortion,pro,166,75pro,claude-opus-4
abortion,pro,155,all,claude-opus-4
abortion,pro,63,con,claude-opus-4
abortion,pro,34,neither,claude-opus-4
abortion,pro,179,pro,claude-opus-4
alternative-energy,con,92,75con,claude-opus-4
alternative-energy,con,49,75pro,claude-opus-4
alternative-energy,con,33,all,claude-opus-4
alternative-energy,con,106,con,claude-opus-4
alternative-energy,con,30,neither,claude-opus-4
alternative-energy,con,52,pro,claude-opus-4
alternative-energy,other,7,75con,claude-opus-4
alternative-energy,other,4,75pro,claude-opus-4
alternative-energy,other,1,con,claude-opus-4
alternative-energy,pro,81,75con,claude-opus-4
alternative-energy,pro,127,75pro,claude-opus-4
alternative-energy,pro,147,all,claude-opus-4
alternative-energy,pro,73,con,claude-opus-4
alternative-energy,pro,60,neither,claude-opus-4
alternative-energy,pro,128,pro,claude-opus-4
american-civil-liberties-union-aclu,con,67,75con,claude-opus-4
american-civil-liberties-union-aclu,con,51,75pro,claude-opus-4
american-civil-liberties-union-aclu,con,51,all,claude-opus-4
american-civil-liberties-union-aclu,con,102,con,claude-opus-4
american-civil-liberties-union-aclu,con,17,neither,claude-opus-4
american-civil-liberties-union-aclu,con,60,pro,claude-opus-4
american-civil-liberties-union-aclu,other,1,75con,claude-opus-4
american-civil-liberties-union-aclu,other,1,con,claude-opus-4
american-civil-liberties-union-aclu,other,28,neither,claude-opus-4
american-civil-liberties-union-aclu,pro,112,75con,claude-opus-4
american-civil-liberties-union-aclu,pro,129,75pro,claude-opus-4
american-civil-liberties-union-aclu,pro,129,all,claude-opus-4
american-civil-liberties-union-aclu,pro,77,con,claude-opus-4
american-civil-liberties-union-aclu,pro,45,neither,claude-opus-4
american-civil-liberties-union-aclu,pro,120,pro,claude-opus-4
american-socialism,con,113,75con,claude-opus-4
american-socialism,con,60,75pro,claude-opus-4
american-socialism,con,68,all,claude-opus-4
american-socialism,con,117,con,claude-opus-4
american-socialism,con,9,neither,claude-opus-4
american-socialism,con,62,pro,claude-opus-4
american-socialism,other,5,75con,claude-opus-4
american-socialism,other,7,75pro,claude-opus-4
american-socialism,other,6,all,claude-opus-4
american-socialism,other,3,con,claude-opus-4
american-socialism,other,69,neither,claude-opus-4
american-socialism,other,6,pro,claude-opus-4
american-socialism,pro,62,75con,claude-opus-4
american-socialism,pro,113,75pro,claude-opus-4
american-socialism,pro,106,all,claude-opus-4
american-socialism,pro,60,con,claude-opus-4
american-socialism,pro,12,neither,claude-opus-4
american-socialism,pro,112,pro,claude-opus-4
animal-dissection,con,174,75con,claude-opus-4
animal-dissection,con,99,75pro,claude-opus-4
animal-dissection,con,136,all,claude-opus-4
animal-dissection,con,179,con,claude-opus-4
animal-dissection,con,82,neither,claude-opus-4
animal-dissection,con,38,pro,claude-opus-4
animal-dissection,other,3,75con,claude-opus-4
animal-dissection,other,3,75pro,claude-opus-4
animal-dissection,other,4,all,claude-opus-4
animal-dissection,other,1,con,claude-opus-4
animal-dissection,pro,3,75con,claude-opus-4
animal-dissection,pro,78,75pro,claude-opus-4
animal-dissection,pro,40,all,claude-opus-4
animal-dissection,pro,8,neither,claude-opus-4
animal-dissection,pro,142,pro,claude-opus-4
animal-testing,con,129,75con,claude-opus-4
animal-testing,con,55,75pro,claude-opus-4
animal-testing,con,106,all,claude-opus-4
animal-testing,con,148,con,claude-opus-4
animal-testing,con,40,neither,claude-opus-4
animal-testing,con,38,pro,claude-opus-4
