model,topic,case,paraphrase_idx,n_compositions,pairwise_flip_rate,mean_abs_pairwise_delta_p_pro,max_abs_pairwise_delta_p_pro,p_pro_variance_across_compositions
gemini-2.0-flash,American-Civil-Liberties-Union-ACLU,75con,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gemini-2.0-flash,American-Civil-Liberties-Union-ACLU,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,American-socialism,75con,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,American-socialism,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Big-Three-Auto,75con,0,4,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333
gemini-2.0-flash,Big-Three-Auto,75pro,0,4,0.0,0.0,0.0,0.0
gemini-2.0-flash,Bill-Clinton,75con,0,4,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333
gemini-2.0-flash,Bill-Clinton,75pro,0,4,0.0,0.0,0.0,0.0
gemini-2.0-flash,Cuba-Embargo,75con,0,4,0.0,0.0,0.0,0.0
gemini-2.0-flash,Cuba-Embargo,75pro,0,4,0.5,0.5,1.0,0.25
gemini-2.0-flash,DACA-and-the-DREAM-Act,75con,0,4,0.0,0.0,0.0,0.0
gemini-2.0-flash,DACA-and-the-DREAM-Act,75pro,0,4,0.0,0.0,0.0,0.0
gemini-2.0-flash,DARE-Drug-Abuse-Resistance-Education,75con,0,4,0.0,0.0,0.0,0.0
gemini-2.0-flash,DARE-Drug-Abuse-Resistance-Education,75pro,0,4,0.5,0.5,1.0,0.25
gemini-2.0-flash,DC-and-Puerto-Rico-statehood,75con,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gemini-2.0-flash,DC-and-Puerto-Rico-statehood,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Dakota-Access-Pipeline,75con,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Dakota-Access-Pipeline,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Daylight-Saving-Time,75con,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Daylight-Saving-Time,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Electoral-College,75con,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Electoral-College,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,GMOs,75con,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,GMOs,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Internet,75con,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gemini-2.0-flash,Internet,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,MAID-medical-aid-in-dying,75con,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gemini-2.0-flash,MAID-medical-aid-in-dying,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Obamacare,75con,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gemini-2.0-flash,Obamacare,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Olympics,75con,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Olympics,75pro,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gemini-2.0-flash,Pokemon-GO,75con,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Pokemon-GO,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Ronald-Reagan,75con,0,4,0.0,0.0,0.0,0.0
gemini-2.0-flash,Ronald-Reagan,75pro,0,4,0.5,0.5,1.0,0.25
gemini-2.0-flash,Santa-Claus,75con,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Santa-Claus,75pro,0,3,0.0,0.0,0.0,0.0
gemini-2.0-flash,Saturday-Halloween,75con,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gemini-2.0-flash,Saturday-Halloween,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,American-Civil-Liberties-Union-ACLU,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,American-Civil-Liberties-Union-ACLU,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,American-socialism,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,American-socialism,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,Big-Three-Auto,75con,0,4,0.0,0.0,0.0,0.0
gpt-4o,Big-Three-Auto,75pro,0,4,0.0,0.0,0.0,0.0
gpt-4o,Bill-Clinton,75con,0,4,0.5,0.5,1.0,0.25
