feature,feature_type,n_true,n_false,effectiveness_gap_true_minus_false,gap_ci_lower,gap_ci_upper,spearman_rho,spearman_p_value
has_percent,binary,347.0,765.0,0.02584354180098869,0.005850340136054399,0.04525383357558609,,
has_normative_language,binary,555.0,557.0,0.021840958605664484,0.005416153960365194,0.04216200466200473,,
has_source_cue,binary,497.0,615.0,0.022062646096306704,0.005668701793681486,0.041035742035742145,,
has_strict_source,binary,782.0,330.0,0.013495704634234329,-0.002428173820253841,0.027687706169174937,,
has_strict_statistics,binary,346.0,766.0,0.026167005198360238,0.006639903862191115,0.04620778098070227,,
avg_word_length,numeric,,,,,,0.10509574644525616,0.00044747301802847535
flesch_kincaid_grade_est,numeric,,,,,,0.040674327980401034,0.17529378493928255
percent_count_per_100_words,numeric,,,,,,0.06823412709078952,0.022877521070515563
source_cue_count_per_100_words,numeric,,,,,,0.03418732515271673,0.2546681032628322
normative_cue_count_per_100_words,numeric,,,,,,-0.0033507674341312563,0.9111314053271463
stats_cue_count_per_100_words,numeric,,,,,,0.06705124553349288,0.02535588176551396
