feature,coef_median,coef_ci_lower,coef_ci_upper,coef_positive_rate,coef_negative_rate
has_normative_language,0.007734742148189177,0.00041728602635464254,0.025953618805844528,0.98,0.02
avg_word_length,0.006561672204927994,-0.0002725627394191734,0.017602184765646206,0.964,0.036
flesch_kincaid_grade_est,0.004991650372645684,-0.001198711376373736,0.016179649683376526,0.94,0.06
has_strict_statistics,0.004230517259568523,-0.0019825037299312674,0.12459560347360248,0.916,0.084
stats_cue_count_per_100_words,0.003684076326930033,-0.0018031693448217368,0.014148414446006756,0.904,0.096
source_cue_count_per_100_words,0.0036111429350598493,-0.006094137995499151,0.01872954742807599,0.788,0.212
has_strict_source,0.0030112896432651216,-0.005844758347070897,0.012398634440845843,0.78,0.22
has_percent,0.002904164948265046,-0.10684830948709945,0.008460500551315878,0.816,0.184
has_source_cue,0.002255866415771011,-0.013132764933331386,0.011710805138425753,0.7,0.3
percent_count_per_100_words,0.0011908794087180088,-0.010306287648796686,0.011543971901494613,0.604,0.396
normative_cue_count_per_100_words,-0.007648400312469689,-0.022639205225181373,-0.0007944943538898458,0.02,0.98
