feature,coef_standardized,abs_coef
citation_count_per_100_words,0.007034347665866763,0.007034347665866763
has_normative_language,0.005952365292867923,0.005952365292867923
normative_cue_count_per_100_words,-0.005913858854642578,0.005913858854642578
source_cue_count_per_100_words,0.00427037254671377,0.00427037254671377
flesch_kincaid_grade_est,0.004161500674053881,0.004161500674053881
avg_word_length,0.003999323663524159,0.003999323663524159
has_source_cue,0.0014343344799950827,0.0014343344799950827
has_strict_statistics,0.0013751111697420072,0.0013751111697420072
has_strict_source,0.0009406040264697545,0.0009406040264697545
has_percent,0.0009098308905218455,0.0009098308905218455
percent_count_per_100_words,-0.0006649580856362069,0.0006649580856362069
stats_cue_count_per_100_words,0.0006343560613888638,0.0006343560613888638
