pattern,feature,test_type,mean_in,mean_out,delta_mean,cohens_d,p_value,sig
consensus-effective,citation_count_per_100_words,mannwhitneyu,2.2544081960817075,2.2674887916474855,-0.013080595565778008,-0.007103639719377521,0.9388199540797344,
consensus-effective,stats_cue_count_per_100_words,mannwhitneyu,17.64049001124258,19.313405647084004,-1.6729156358414237,-0.08986696595679768,0.9947804213280912,
consensus-effective,source_cue_count_per_100_words,mannwhitneyu,0.2001420027350671,0.22077831144257842,-0.02063630870751132,-0.05165182288241535,0.21866890664592942,
consensus-effective,has_statistics,fisher_exact,0.8970588235294118,0.9457964601769911,-0.04873763664757935,,0.015749594083866305,*
consensus-effective,has_strict_statistics,fisher_exact,0.3235294117647059,0.30973451327433627,0.013794898490369634,,0.7380538406995674,
mixed-direction-moderate-variance,citation_count_per_100_words,mannwhitneyu,2.2729048166997496,2.2614676171571015,0.011437199542648102,0.006211167934615712,0.9591875041687914,
mixed-direction-moderate-variance,stats_cue_count_per_100_words,mannwhitneyu,18.204319356108428,19.37528613802042,-1.1709667819119929,-0.06289161216602644,0.9039295322182297,
mixed-direction-moderate-variance,source_cue_count_per_100_words,mannwhitneyu,0.20195273420304383,0.2239170252387589,-0.021964291035715067,-0.05498265825713099,0.5447576146072529,
mixed-direction-moderate-variance,has_statistics,fisher_exact,0.9314285714285714,0.9393139841688655,-0.007885412740294084,,0.598074520667911,
mixed-direction-moderate-variance,has_strict_statistics,fisher_exact,0.3,0.3179419525065963,-0.017941952506596304,,0.5772698538648211,
agreement-with-variable-strength,citation_count_per_100_words,mannwhitneyu,2.915418018465104,2.155318836176771,0.7600991822883332,0.41720610259676816,6.041622212115951e-06,***
agreement-with-variable-strength,stats_cue_count_per_100_words,mannwhitneyu,19.01822385102694,19.003230855583457,0.01499299544348176,0.0008049162856694586,0.0553738806140156,
agreement-with-variable-strength,source_cue_count_per_100_words,mannwhitneyu,0.2651342756118059,0.20885134810564937,0.056282927506156544,0.14101879092091146,0.11848605933372844,
agreement-with-variable-strength,has_statistics,fisher_exact,0.95,0.9345991561181435,0.015400843881856474,,0.5977966861590032,
agreement-with-variable-strength,has_strict_statistics,fisher_exact,0.31875,0.3111814345991561,0.007568565400843885,,0.853977982763334,
polarizing-effective,citation_count_per_100_words,mannwhitneyu,1.9995591341370502,2.4116006173669433,-0.4120414832298931,-0.2250624938150796,0.0005933370574887427,***
polarizing-effective,stats_cue_count_per_100_words,mannwhitneyu,20.418505365892592,18.22561281946183,2.1928925464307625,0.11791570111814668,0.1953441290461807,
polarizing-effective,source_cue_count_per_100_words,mannwhitneyu,0.2194889656729355,0.215593710962056,0.003895254710879481,0.009747810327511656,0.6615742420306175,
polarizing-effective,has_statistics,fisher_exact,0.9568527918781726,0.9257703081232493,0.031082483754923285,,0.05222256082799433,
polarizing-effective,has_strict_statistics,fisher_exact,0.3147208121827411,0.31092436974789917,0.003796442434841951,,0.892518277855038,
