pattern,feature,feature_type,mean_in,mean_out,effect_size_diff,cohens_d,p_value,sig
consensus-effective,has_percent,binary,0.3235294117647059,0.3108407079646018,0.012688703800104117,,0.7384883394607324,
consensus-effective,has_normative_language,binary,0.4950980392156863,0.5077433628318584,-0.0126453236161721,,0.757002979732506,
consensus-effective,has_source_cue,binary,0.4166666666666667,0.4557522123893805,-0.03908554572271383,,0.3497467001507666,
consensus-effective,has_strict_source,binary,0.696078431372549,0.7035398230088495,-0.007461391636300552,,0.8654610579213807,
consensus-effective,has_strict_statistics,binary,0.3235294117647059,0.30973451327433627,0.013794898490369634,,0.7380538406995674,
consensus-effective,avg_word_length,numeric,5.407486930564791,5.403462565075212,0.004024365489579296,0.007920956207689076,0.971595221743272,
consensus-effective,flesch_kincaid_grade_est,numeric,11.539399518021805,11.088855590856435,0.45054392716536995,0.12817417047784763,0.375382605652424,
consensus-effective,percent_count_per_100_words,numeric,0.3957724732937383,0.3312336901347333,0.06453878315900502,0.08558084882820184,0.6974142928711715,
consensus-effective,source_cue_count_per_100_words,numeric,0.2001420027350671,0.22077831144257842,-0.02063630870751132,-0.05165182288241535,0.21866890664592942,
consensus-effective,normative_cue_count_per_100_words,numeric,0.42282409412022803,0.3858702580786172,0.036953836041610844,0.05028205636471766,0.6434225895614841,
consensus-effective,stats_cue_count_per_100_words,numeric,17.64049001124258,19.313405647084004,-1.6729156358414237,-0.08986696595679768,0.9947804213280912,
consensus-effective,citation_count_per_100_words,numeric,2.2544081960817075,2.2674887916474855,-0.013080595565778008,-0.007103639719377521,0.9388199540797344,
mixed-direction-moderate-variance,has_percent,binary,0.3028571428571429,0.3179419525065963,-0.015084809649453412,,0.6264797824377963,
mixed-direction-moderate-variance,has_normative_language,binary,0.5,0.5079155672823219,-0.0079155672823219,,0.846295996654872,
mixed-direction-moderate-variance,has_source_cue,binary,0.4342857142857143,0.4551451187335092,-0.020859404447794938,,0.5587635313636139,
mixed-direction-moderate-variance,has_strict_source,binary,0.7057142857142857,0.7005277044854882,0.00518658122879756,,0.8877581438826184,
mixed-direction-moderate-variance,has_strict_statistics,binary,0.3,0.3179419525065963,-0.017941952506596304,,0.5772698538648211,
mixed-direction-moderate-variance,avg_word_length,numeric,5.4044042747775585,5.404110813312749,0.0002934614648095746,0.0005776027370347517,0.850701955981374,
