issue,issue_stance,count,case,model
abortion,con,115,75con,gemini-2.0-flash
abortion,con,31,all,gemini-2.0-flash
abortion,con,179,con,gemini-2.0-flash
abortion,con,2,neither,gemini-2.0-flash
abortion,pro,65,75con,gemini-2.0-flash
abortion,pro,180,75pro,gemini-2.0-flash
abortion,pro,149,all,gemini-2.0-flash
abortion,pro,1,con,gemini-2.0-flash
abortion,pro,88,neither,gemini-2.0-flash
abortion,pro,180,pro,gemini-2.0-flash
alternative-energy,con,111,75con,gemini-2.0-flash
alternative-energy,con,25,75pro,gemini-2.0-flash
alternative-energy,con,31,all,gemini-2.0-flash
alternative-energy,con,180,con,gemini-2.0-flash
alternative-energy,con,9,neither,gemini-2.0-flash
alternative-energy,pro,69,75con,gemini-2.0-flash
alternative-energy,pro,155,75pro,gemini-2.0-flash
alternative-energy,pro,149,all,gemini-2.0-flash
alternative-energy,pro,81,neither,gemini-2.0-flash
alternative-energy,pro,180,pro,gemini-2.0-flash
american-civil-liberties-union-aclu,con,161,75con,gemini-2.0-flash
american-civil-liberties-union-aclu,con,33,all,gemini-2.0-flash
american-civil-liberties-union-aclu,con,180,con,gemini-2.0-flash
american-civil-liberties-union-aclu,pro,19,75con,gemini-2.0-flash
american-civil-liberties-union-aclu,pro,180,75pro,gemini-2.0-flash
american-civil-liberties-union-aclu,pro,147,all,gemini-2.0-flash
american-civil-liberties-union-aclu,pro,90,neither,gemini-2.0-flash
american-civil-liberties-union-aclu,pro,180,pro,gemini-2.0-flash
american-socialism,con,178,75con,gemini-2.0-flash
american-socialism,con,13,75pro,gemini-2.0-flash
american-socialism,con,118,all,gemini-2.0-flash
american-socialism,con,180,con,gemini-2.0-flash
american-socialism,con,90,neither,gemini-2.0-flash
american-socialism,pro,2,75con,gemini-2.0-flash
american-socialism,pro,167,75pro,gemini-2.0-flash
american-socialism,pro,62,all,gemini-2.0-flash
american-socialism,pro,180,pro,gemini-2.0-flash
animal-dissection,con,180,75con,gemini-2.0-flash
animal-dissection,con,26,75pro,gemini-2.0-flash
animal-dissection,con,162,all,gemini-2.0-flash
animal-dissection,con,180,con,gemini-2.0-flash
animal-dissection,con,78,neither,gemini-2.0-flash
animal-dissection,pro,154,75pro,gemini-2.0-flash
animal-dissection,pro,18,all,gemini-2.0-flash
animal-dissection,pro,12,neither,gemini-2.0-flash
animal-dissection,pro,180,pro,gemini-2.0-flash
animal-testing,con,141,75con,gemini-2.0-flash
animal-testing,con,37,75pro,gemini-2.0-flash
animal-testing,con,81,all,gemini-2.0-flash
animal-testing,con,150,con,gemini-2.0-flash
animal-testing,con,52,neither,gemini-2.0-flash
animal-testing,con,30,pro,gemini-2.0-flash
animal-testing,pro,39,75con,gemini-2.0-flash
animal-testing,pro,143,75pro,gemini-2.0-flash
animal-testing,pro,99,all,gemini-2.0-flash
animal-testing,pro,30,con,gemini-2.0-flash
animal-testing,pro,38,neither,gemini-2.0-flash
animal-testing,pro,150,pro,gemini-2.0-flash
artificial-intelligence-ai,con,180,75con,gemini-2.0-flash
artificial-intelligence-ai,con,70,75pro,gemini-2.0-flash
artificial-intelligence-ai,con,177,all,gemini-2.0-flash
artificial-intelligence-ai,con,180,con,gemini-2.0-flash
artificial-intelligence-ai,pro,110,75pro,gemini-2.0-flash
artificial-intelligence-ai,pro,3,all,gemini-2.0-flash
artificial-intelligence-ai,pro,90,neither,gemini-2.0-flash
artificial-intelligence-ai,pro,180,pro,gemini-2.0-flash
big-three-auto,con,175,75con,gemini-2.0-flash
big-three-auto,con,53,all,gemini-2.0-flash
big-three-auto,con,180,con,gemini-2.0-flash
big-three-auto,con,65,neither,gemini-2.0-flash
big-three-auto,pro,5,75con,gemini-2.0-flash
big-three-auto,pro,180,75pro,gemini-2.0-flash
big-three-auto,pro,127,all,gemini-2.0-flash
big-three-auto,pro,25,neither,gemini-2.0-flash
big-three-auto,pro,180,pro,gemini-2.0-flash
bill-clinton,con,165,75con,gemini-2.0-flash
bill-clinton,con,6,75pro,gemini-2.0-flash
bill-clinton,con,85,all,gemini-2.0-flash
bill-clinton,con,180,con,gemini-2.0-flash
bill-clinton,con,1,neither,gemini-2.0-flash
bill-clinton,pro,15,75con,gemini-2.0-flash
bill-clinton,pro,174,75pro,gemini-2.0-flash
bill-clinton,pro,95,all,gemini-2.0-flash
bill-clinton,pro,89,neither,gemini-2.0-flash
bill-clinton,pro,180,pro,gemini-2.0-flash
binge-watching,con,178,75con,gemini-2.0-flash
binge-watching,con,40,75pro,gemini-2.0-flash
binge-watching,con,172,all,gemini-2.0-flash
binge-watching,con,180,con,gemini-2.0-flash
binge-watching,con,89,neither,gemini-2.0-flash
binge-watching,pro,2,75con,gemini-2.0-flash
binge-watching,pro,140,75pro,gemini-2.0-flash
binge-watching,pro,8,all,gemini-2.0-flash
binge-watching,pro,1,neither,gemini-2.0-flash
binge-watching,pro,180,pro,gemini-2.0-flash
birth-control,con,170,75con,gemini-2.0-flash
birth-control,con,6,75pro,gemini-2.0-flash
birth-control,con,77,all,gemini-2.0-flash
birth-control,con,180,con,gemini-2.0-flash
birth-control,pro,10,75con,gemini-2.0-flash
birth-control,pro,174,75pro,gemini-2.0-flash
birth-control,pro,103,all,gemini-2.0-flash
birth-control,pro,90,neither,gemini-2.0-flash
birth-control,pro,180,pro,gemini-2.0-flash
book-bans,con,165,75con,gemini-2.0-flash
book-bans,con,56,75pro,gemini-2.0-flash
book-bans,con,126,all,gemini-2.0-flash
book-bans,con,180,con,gemini-2.0-flash
book-bans,con,90,neither,gemini-2.0-flash
book-bans,pro,15,75con,gemini-2.0-flash
book-bans,pro,124,75pro,gemini-2.0-flash
book-bans,pro,54,all,gemini-2.0-flash
book-bans,pro,180,pro,gemini-2.0-flash
cancel-culture,con,150,75con,gemini-2.0-flash
cancel-culture,con,58,75pro,gemini-2.0-flash
cancel-culture,con,120,all,gemini-2.0-flash
cancel-culture,con,150,con,gemini-2.0-flash
cancel-culture,con,75,neither,gemini-2.0-flash
cancel-culture,con,30,pro,gemini-2.0-flash
cancel-culture,pro,30,75con,gemini-2.0-flash
cancel-culture,pro,122,75pro,gemini-2.0-flash
cancel-culture,pro,60,all,gemini-2.0-flash
cancel-culture,pro,30,con,gemini-2.0-flash
cancel-culture,pro,15,neither,gemini-2.0-flash
cancel-culture,pro,150,pro,gemini-2.0-flash
cannabidiol-cbd-for-pets,con,177,75con,gemini-2.0-flash
cannabidiol-cbd-for-pets,con,3,75pro,gemini-2.0-flash
cannabidiol-cbd-for-pets,con,113,all,gemini-2.0-flash
cannabidiol-cbd-for-pets,con,180,con,gemini-2.0-flash
cannabidiol-cbd-for-pets,con,34,neither,gemini-2.0-flash
cannabidiol-cbd-for-pets,pro,3,75con,gemini-2.0-flash
cannabidiol-cbd-for-pets,pro,177,75pro,gemini-2.0-flash
cannabidiol-cbd-for-pets,pro,67,all,gemini-2.0-flash
cannabidiol-cbd-for-pets,pro,56,neither,gemini-2.0-flash
cannabidiol-cbd-for-pets,pro,180,pro,gemini-2.0-flash
cell-phones,con,128,75con,gemini-2.0-flash
cell-phones,con,33,75pro,gemini-2.0-flash
cell-phones,con,41,all,gemini-2.0-flash
cell-phones,con,150,con,gemini-2.0-flash
cell-phones,con,22,neither,gemini-2.0-flash
cell-phones,con,30,pro,gemini-2.0-flash
cell-phones,pro,52,75con,gemini-2.0-flash
cell-phones,pro,147,75pro,gemini-2.0-flash
cell-phones,pro,139,all,gemini-2.0-flash
cell-phones,pro,30,con,gemini-2.0-flash
cell-phones,pro,68,neither,gemini-2.0-flash
cell-phones,pro,150,pro,gemini-2.0-flash
cheerleading,con,175,75con,gemini-2.0-flash
cheerleading,con,32,75pro,gemini-2.0-flash
cheerleading,con,160,all,gemini-2.0-flash
cheerleading,con,180,con,gemini-2.0-flash
cheerleading,con,5,neither,gemini-2.0-flash
cheerleading,pro,5,75con,gemini-2.0-flash
cheerleading,pro,148,75pro,gemini-2.0-flash
cheerleading,pro,20,all,gemini-2.0-flash
cheerleading,pro,85,neither,gemini-2.0-flash
cheerleading,pro,180,pro,gemini-2.0-flash
churches-and-taxes,con,178,75con,gemini-2.0-flash
churches-and-taxes,con,26,75pro,gemini-2.0-flash
churches-and-taxes,con,135,all,gemini-2.0-flash
churches-and-taxes,con,180,con,gemini-2.0-flash
churches-and-taxes,con,18,neither,gemini-2.0-flash
churches-and-taxes,pro,2,75con,gemini-2.0-flash
churches-and-taxes,pro,154,75pro,gemini-2.0-flash
churches-and-taxes,pro,45,all,gemini-2.0-flash
churches-and-taxes,pro,72,neither,gemini-2.0-flash
churches-and-taxes,pro,180,pro,gemini-2.0-flash
climate-change,con,119,75con,gemini-2.0-flash
climate-change,con,24,all,gemini-2.0-flash
climate-change,con,180,con,gemini-2.0-flash
climate-change,pro,61,75con,gemini-2.0-flash
climate-change,pro,180,75pro,gemini-2.0-flash
climate-change,pro,156,all,gemini-2.0-flash
climate-change,pro,90,neither,gemini-2.0-flash
climate-change,pro,180,pro,gemini-2.0-flash
college-education,con,111,75con,gemini-2.0-flash
college-education,con,6,75pro,gemini-2.0-flash
college-education,con,21,all,gemini-2.0-flash
college-education,con,180,con,gemini-2.0-flash
college-education,pro,69,75con,gemini-2.0-flash
college-education,pro,174,75pro,gemini-2.0-flash
college-education,pro,159,all,gemini-2.0-flash
college-education,pro,90,neither,gemini-2.0-flash
college-education,pro,180,pro,gemini-2.0-flash
college-football-playoffs,con,53,75con,gemini-2.0-flash
college-football-playoffs,con,1,all,gemini-2.0-flash
college-football-playoffs,con,167,con,gemini-2.0-flash
college-football-playoffs,pro,127,75con,gemini-2.0-flash
college-football-playoffs,pro,180,75pro,gemini-2.0-flash
college-football-playoffs,pro,179,all,gemini-2.0-flash
college-football-playoffs,pro,13,con,gemini-2.0-flash
college-football-playoffs,pro,90,neither,gemini-2.0-flash
college-football-playoffs,pro,180,pro,gemini-2.0-flash
congressional-term-limits,con,180,75con,gemini-2.0-flash
congressional-term-limits,con,15,75pro,gemini-2.0-flash
congressional-term-limits,con,120,all,gemini-2.0-flash
congressional-term-limits,con,180,con,gemini-2.0-flash
congressional-term-limits,con,56,neither,gemini-2.0-flash
congressional-term-limits,pro,165,75pro,gemini-2.0-flash
congressional-term-limits,pro,60,all,gemini-2.0-flash
congressional-term-limits,pro,34,neither,gemini-2.0-flash
congressional-term-limits,pro,180,pro,gemini-2.0-flash
constitutional-carry-of-guns,con,139,75con,gemini-2.0-flash
constitutional-carry-of-guns,con,54,75pro,gemini-2.0-flash
constitutional-carry-of-guns,con,100,all,gemini-2.0-flash
constitutional-carry-of-guns,con,150,con,gemini-2.0-flash
constitutional-carry-of-guns,con,42,neither,gemini-2.0-flash
constitutional-carry-of-guns,con,30,pro,gemini-2.0-flash
constitutional-carry-of-guns,pro,41,75con,gemini-2.0-flash
constitutional-carry-of-guns,pro,126,75pro,gemini-2.0-flash
constitutional-carry-of-guns,pro,80,all,gemini-2.0-flash
constitutional-carry-of-guns,pro,30,con,gemini-2.0-flash
constitutional-carry-of-guns,pro,48,neither,gemini-2.0-flash
constitutional-carry-of-guns,pro,150,pro,gemini-2.0-flash
corporate-tax-rate,con,169,75con,gemini-2.0-flash
corporate-tax-rate,con,28,75pro,gemini-2.0-flash
corporate-tax-rate,con,132,all,gemini-2.0-flash
corporate-tax-rate,con,180,con,gemini-2.0-flash
corporate-tax-rate,con,66,neither,gemini-2.0-flash
corporate-tax-rate,pro,11,75con,gemini-2.0-flash
corporate-tax-rate,pro,152,75pro,gemini-2.0-flash
