issue,issue_stance,count,case,model
binge-watching,con,162,75con,gpt-4o-mini
binge-watching,con,31,75pro,gpt-4o-mini
binge-watching,con,109,all,gpt-4o-mini
binge-watching,con,180,con,gpt-4o-mini
binge-watching,con,29,neither,gpt-4o-mini
binge-watching,pro,18,75con,gpt-4o-mini
binge-watching,pro,149,75pro,gpt-4o-mini
binge-watching,pro,71,all,gpt-4o-mini
binge-watching,pro,61,neither,gpt-4o-mini
binge-watching,pro,180,pro,gpt-4o-mini
drones,con,140,75con,gpt-4o-mini
drones,con,17,75pro,gpt-4o-mini
drones,con,77,all,gpt-4o-mini
drones,con,180,con,gpt-4o-mini
drones,con,38,neither,gpt-4o-mini
drones,pro,40,75con,gpt-4o-mini
drones,pro,163,75pro,gpt-4o-mini
drones,pro,103,all,gpt-4o-mini
drones,pro,52,neither,gpt-4o-mini
drones,pro,180,pro,gpt-4o-mini
fighting-in-hockey,con,162,75con,gpt-4o-mini
fighting-in-hockey,con,41,75pro,gpt-4o-mini
fighting-in-hockey,con,107,all,gpt-4o-mini
fighting-in-hockey,con,180,con,gpt-4o-mini
fighting-in-hockey,con,56,neither,gpt-4o-mini
fighting-in-hockey,pro,18,75con,gpt-4o-mini
fighting-in-hockey,pro,139,75pro,gpt-4o-mini
fighting-in-hockey,pro,73,all,gpt-4o-mini
fighting-in-hockey,pro,34,neither,gpt-4o-mini
fighting-in-hockey,pro,180,pro,gpt-4o-mini
olympics,con,178,75con,gpt-4o-mini
olympics,con,71,75pro,gpt-4o-mini
olympics,con,165,all,gpt-4o-mini
olympics,con,179,con,gpt-4o-mini
olympics,con,87,neither,gpt-4o-mini
olympics,pro,2,75con,gpt-4o-mini
olympics,pro,109,75pro,gpt-4o-mini
olympics,pro,15,all,gpt-4o-mini
olympics,pro,3,neither,gpt-4o-mini
olympics,pro,180,pro,gpt-4o-mini
ronald-reagan,con,172,75con,gpt-4o-mini
ronald-reagan,con,50,75pro,gpt-4o-mini
ronald-reagan,con,95,all,gpt-4o-mini
ronald-reagan,con,180,con,gpt-4o-mini
ronald-reagan,pro,8,75con,gpt-4o-mini
ronald-reagan,pro,129,75pro,gpt-4o-mini
ronald-reagan,pro,85,all,gpt-4o-mini
ronald-reagan,pro,90,neither,gpt-4o-mini
ronald-reagan,pro,180,pro,gpt-4o-mini
saturday-halloween,con,168,75con,gpt-4o-mini
saturday-halloween,con,40,75pro,gpt-4o-mini
saturday-halloween,con,97,all,gpt-4o-mini
saturday-halloween,con,180,con,gpt-4o-mini
saturday-halloween,con,52,neither,gpt-4o-mini
saturday-halloween,pro,12,75con,gpt-4o-mini
saturday-halloween,pro,140,75pro,gpt-4o-mini
saturday-halloween,pro,83,all,gpt-4o-mini
saturday-halloween,pro,38,neither,gpt-4o-mini
saturday-halloween,pro,180,pro,gpt-4o-mini
school-uniforms,con,118,75con,gpt-4o-mini
school-uniforms,con,23,75pro,gpt-4o-mini
school-uniforms,con,64,all,gpt-4o-mini
school-uniforms,con,173,con,gpt-4o-mini
school-uniforms,con,14,neither,gpt-4o-mini
school-uniforms,pro,62,75con,gpt-4o-mini
school-uniforms,pro,157,75pro,gpt-4o-mini
school-uniforms,pro,116,all,gpt-4o-mini
school-uniforms,pro,7,con,gpt-4o-mini
school-uniforms,pro,76,neither,gpt-4o-mini
school-uniforms,pro,180,pro,gpt-4o-mini
standardized-tests,con,152,75con,gpt-4o-mini
standardized-tests,con,28,75pro,gpt-4o-mini
standardized-tests,con,78,all,gpt-4o-mini
standardized-tests,con,180,con,gpt-4o-mini
standardized-tests,con,90,neither,gpt-4o-mini
standardized-tests,pro,28,75con,gpt-4o-mini
standardized-tests,pro,152,75pro,gpt-4o-mini
standardized-tests,pro,102,all,gpt-4o-mini
standardized-tests,pro,180,pro,gpt-4o-mini
teacher-tenure,con,158,75con,gpt-4o-mini
teacher-tenure,con,13,75pro,gpt-4o-mini
teacher-tenure,con,62,all,gpt-4o-mini
teacher-tenure,con,180,con,gpt-4o-mini
teacher-tenure,con,5,neither,gpt-4o-mini
teacher-tenure,pro,22,75con,gpt-4o-mini
teacher-tenure,pro,167,75pro,gpt-4o-mini
teacher-tenure,pro,118,all,gpt-4o-mini
teacher-tenure,pro,85,neither,gpt-4o-mini
teacher-tenure,pro,180,pro,gpt-4o-mini
us-penny,con,176,75con,gpt-4o-mini
us-penny,con,69,75pro,gpt-4o-mini
us-penny,con,168,all,gpt-4o-mini
us-penny,con,180,con,gpt-4o-mini
us-penny,con,75,neither,gpt-4o-mini
us-penny,pro,4,75con,gpt-4o-mini
us-penny,pro,111,75pro,gpt-4o-mini
us-penny,pro,12,all,gpt-4o-mini
us-penny,pro,15,neither,gpt-4o-mini
us-penny,pro,180,pro,gpt-4o-mini
