issue,issue_stance,count,case,model
binge-watching,con,176,75con,gpt-4o
binge-watching,con,45,75pro,gpt-4o
binge-watching,con,148,all,gpt-4o
binge-watching,con,180,con,gpt-4o
binge-watching,con,72,neither,gpt-4o
binge-watching,pro,4,75con,gpt-4o
binge-watching,pro,135,75pro,gpt-4o
binge-watching,pro,32,all,gpt-4o
binge-watching,pro,18,neither,gpt-4o
binge-watching,pro,180,pro,gpt-4o
drones,con,143,75con,gpt-4o
drones,con,9,75pro,gpt-4o
drones,con,61,all,gpt-4o
drones,con,180,con,gpt-4o
drones,con,58,neither,gpt-4o
drones,other,27,neither,gpt-4o
drones,pro,37,75con,gpt-4o
drones,pro,171,75pro,gpt-4o
drones,pro,119,all,gpt-4o
drones,pro,5,neither,gpt-4o
drones,pro,180,pro,gpt-4o
fighting-in-hockey,con,179,75con,gpt-4o
fighting-in-hockey,con,61,75pro,gpt-4o
fighting-in-hockey,con,164,all,gpt-4o
fighting-in-hockey,con,180,con,gpt-4o
fighting-in-hockey,con,56,neither,gpt-4o
fighting-in-hockey,pro,1,75con,gpt-4o
fighting-in-hockey,pro,119,75pro,gpt-4o
fighting-in-hockey,pro,16,all,gpt-4o
fighting-in-hockey,pro,34,neither,gpt-4o
fighting-in-hockey,pro,180,pro,gpt-4o
olympics,con,180,75con,gpt-4o
olympics,con,64,75pro,gpt-4o
olympics,con,173,all,gpt-4o
olympics,con,180,con,gpt-4o
olympics,con,89,neither,gpt-4o
olympics,pro,116,75pro,gpt-4o
olympics,pro,7,all,gpt-4o
olympics,pro,1,neither,gpt-4o
olympics,pro,180,pro,gpt-4o
ronald-reagan,con,178,75con,gpt-4o
ronald-reagan,con,30,75pro,gpt-4o
ronald-reagan,con,155,all,gpt-4o
ronald-reagan,con,180,con,gpt-4o
ronald-reagan,con,1,neither,gpt-4o
ronald-reagan,other,16,neither,gpt-4o
ronald-reagan,pro,2,75con,gpt-4o
ronald-reagan,pro,150,75pro,gpt-4o
ronald-reagan,pro,25,all,gpt-4o
ronald-reagan,pro,73,neither,gpt-4o
ronald-reagan,pro,180,pro,gpt-4o
saturday-halloween,con,169,75con,gpt-4o
saturday-halloween,con,28,75pro,gpt-4o
saturday-halloween,con,101,all,gpt-4o
saturday-halloween,con,180,con,gpt-4o
saturday-halloween,con,20,neither,gpt-4o
saturday-halloween,pro,11,75con,gpt-4o
saturday-halloween,pro,152,75pro,gpt-4o
saturday-halloween,pro,79,all,gpt-4o
saturday-halloween,pro,70,neither,gpt-4o
saturday-halloween,pro,180,pro,gpt-4o
school-uniforms,con,108,75con,gpt-4o
school-uniforms,con,6,75pro,gpt-4o
school-uniforms,con,40,all,gpt-4o
school-uniforms,con,180,con,gpt-4o
school-uniforms,con,10,neither,gpt-4o
school-uniforms,pro,72,75con,gpt-4o
school-uniforms,pro,174,75pro,gpt-4o
school-uniforms,pro,140,all,gpt-4o
school-uniforms,pro,80,neither,gpt-4o
school-uniforms,pro,180,pro,gpt-4o
standardized-tests,con,111,75con,gpt-4o
standardized-tests,con,14,75pro,gpt-4o
standardized-tests,con,66,all,gpt-4o
standardized-tests,con,180,con,gpt-4o
standardized-tests,con,73,neither,gpt-4o
standardized-tests,pro,69,75con,gpt-4o
standardized-tests,pro,166,75pro,gpt-4o
standardized-tests,pro,114,all,gpt-4o
standardized-tests,pro,17,neither,gpt-4o
standardized-tests,pro,180,pro,gpt-4o
teacher-tenure,con,158,75con,gpt-4o
teacher-tenure,con,14,75pro,gpt-4o
teacher-tenure,con,107,all,gpt-4o
teacher-tenure,con,180,con,gpt-4o
teacher-tenure,con,18,neither,gpt-4o
teacher-tenure,other,5,neither,gpt-4o
teacher-tenure,pro,22,75con,gpt-4o
teacher-tenure,pro,166,75pro,gpt-4o
teacher-tenure,pro,73,all,gpt-4o
teacher-tenure,pro,67,neither,gpt-4o
teacher-tenure,pro,180,pro,gpt-4o
us-penny,con,180,75con,gpt-4o
us-penny,con,168,75pro,gpt-4o
us-penny,con,180,all,gpt-4o
us-penny,con,180,con,gpt-4o
us-penny,con,90,neither,gpt-4o
us-penny,con,3,pro,gpt-4o
us-penny,pro,12,75pro,gpt-4o
us-penny,pro,177,pro,gpt-4o
