issue,issue_stance,count,case,model
binge-watching,con,179,75con,grok-3-mini
binge-watching,con,45,75pro,grok-3-mini
binge-watching,con,154,all,grok-3-mini
binge-watching,con,180,con,grok-3-mini
binge-watching,con,88,neither,grok-3-mini
binge-watching,pro,1,75con,grok-3-mini
binge-watching,pro,135,75pro,grok-3-mini
binge-watching,pro,26,all,grok-3-mini
binge-watching,pro,2,neither,grok-3-mini
binge-watching,pro,180,pro,grok-3-mini
drones,con,156,75con,grok-3-mini
drones,con,4,75pro,grok-3-mini
drones,con,52,all,grok-3-mini
drones,con,180,con,grok-3-mini
drones,con,80,neither,grok-3-mini
drones,pro,24,75con,grok-3-mini
drones,pro,176,75pro,grok-3-mini
drones,pro,128,all,grok-3-mini
drones,pro,10,neither,grok-3-mini
drones,pro,180,pro,grok-3-mini
fighting-in-hockey,con,180,75con,grok-3-mini
fighting-in-hockey,con,59,75pro,grok-3-mini
fighting-in-hockey,con,166,all,grok-3-mini
fighting-in-hockey,con,180,con,grok-3-mini
fighting-in-hockey,con,90,neither,grok-3-mini
fighting-in-hockey,pro,121,75pro,grok-3-mini
fighting-in-hockey,pro,14,all,grok-3-mini
fighting-in-hockey,pro,180,pro,grok-3-mini
olympics,con,180,75con,grok-3-mini
olympics,con,95,75pro,grok-3-mini
olympics,con,179,all,grok-3-mini
olympics,con,180,con,grok-3-mini
olympics,con,90,neither,grok-3-mini
olympics,pro,85,75pro,grok-3-mini
olympics,pro,1,all,grok-3-mini
olympics,pro,180,pro,grok-3-mini
ronald-reagan,con,167,75con,grok-3-mini
ronald-reagan,con,46,75pro,grok-3-mini
ronald-reagan,con,79,all,grok-3-mini
ronald-reagan,con,180,con,grok-3-mini
ronald-reagan,con,3,neither,grok-3-mini
ronald-reagan,pro,13,75con,grok-3-mini
ronald-reagan,pro,134,75pro,grok-3-mini
ronald-reagan,pro,101,all,grok-3-mini
ronald-reagan,pro,87,neither,grok-3-mini
ronald-reagan,pro,180,pro,grok-3-mini
saturday-halloween,con,170,75con,grok-3-mini
saturday-halloween,con,23,75pro,grok-3-mini
saturday-halloween,con,108,all,grok-3-mini
saturday-halloween,con,180,con,grok-3-mini
saturday-halloween,con,72,neither,grok-3-mini
saturday-halloween,other,2,75pro,grok-3-mini
saturday-halloween,pro,10,75con,grok-3-mini
saturday-halloween,pro,155,75pro,grok-3-mini
saturday-halloween,pro,72,all,grok-3-mini
saturday-halloween,pro,18,neither,grok-3-mini
saturday-halloween,pro,180,pro,grok-3-mini
school-uniforms,con,155,75con,grok-3-mini
school-uniforms,con,11,75pro,grok-3-mini
school-uniforms,con,58,all,grok-3-mini
school-uniforms,con,180,con,grok-3-mini
school-uniforms,con,13,neither,grok-3-mini
school-uniforms,pro,25,75con,grok-3-mini
school-uniforms,pro,169,75pro,grok-3-mini
school-uniforms,pro,122,all,grok-3-mini
school-uniforms,pro,77,neither,grok-3-mini
school-uniforms,pro,180,pro,grok-3-mini
standardized-tests,con,127,75con,grok-3-mini
standardized-tests,con,5,75pro,grok-3-mini
standardized-tests,con,45,all,grok-3-mini
standardized-tests,con,180,con,grok-3-mini
standardized-tests,con,85,neither,grok-3-mini
standardized-tests,pro,53,75con,grok-3-mini
standardized-tests,pro,175,75pro,grok-3-mini
standardized-tests,pro,135,all,grok-3-mini
standardized-tests,pro,5,neither,grok-3-mini
standardized-tests,pro,180,pro,grok-3-mini
teacher-tenure,con,179,75con,grok-3-mini
teacher-tenure,con,27,75pro,grok-3-mini
teacher-tenure,con,163,all,grok-3-mini
teacher-tenure,con,179,con,grok-3-mini
teacher-tenure,con,25,neither,grok-3-mini
teacher-tenure,other,1,con,grok-3-mini
teacher-tenure,pro,1,75con,grok-3-mini
teacher-tenure,pro,153,75pro,grok-3-mini
teacher-tenure,pro,17,all,grok-3-mini
teacher-tenure,pro,65,neither,grok-3-mini
teacher-tenure,pro,180,pro,grok-3-mini
us-penny,con,180,75con,grok-3-mini
us-penny,con,45,75pro,grok-3-mini
us-penny,con,176,all,grok-3-mini
us-penny,con,180,con,grok-3-mini
us-penny,con,90,neither,grok-3-mini
us-penny,pro,135,75pro,grok-3-mini
us-penny,pro,4,all,grok-3-mini
us-penny,pro,180,pro,grok-3-mini
