issue,issue_stance,count,case,model
binge-watching,con,173,75con,grok-3
binge-watching,con,31,75pro,grok-3
binge-watching,con,136,all,grok-3
binge-watching,con,180,con,grok-3
binge-watching,con,62,neither,grok-3
binge-watching,pro,7,75con,grok-3
binge-watching,pro,149,75pro,grok-3
binge-watching,pro,44,all,grok-3
binge-watching,pro,28,neither,grok-3
binge-watching,pro,180,pro,grok-3
drones,con,172,75con,grok-3
drones,con,36,75pro,grok-3
drones,con,104,all,grok-3
drones,con,180,con,grok-3
drones,con,39,neither,grok-3
drones,pro,8,75con,grok-3
drones,pro,144,75pro,grok-3
drones,pro,76,all,grok-3
drones,pro,51,neither,grok-3
drones,pro,180,pro,grok-3
fighting-in-hockey,con,178,75con,grok-3
fighting-in-hockey,con,103,75pro,grok-3
fighting-in-hockey,con,170,all,grok-3
fighting-in-hockey,con,180,con,grok-3
fighting-in-hockey,con,37,neither,grok-3
fighting-in-hockey,con,1,pro,grok-3
fighting-in-hockey,pro,2,75con,grok-3
fighting-in-hockey,pro,77,75pro,grok-3
fighting-in-hockey,pro,10,all,grok-3
fighting-in-hockey,pro,53,neither,grok-3
fighting-in-hockey,pro,179,pro,grok-3
olympics,con,180,75con,grok-3
olympics,con,79,75pro,grok-3
olympics,con,176,all,grok-3
olympics,con,180,con,grok-3
olympics,con,49,neither,grok-3
olympics,pro,101,75pro,grok-3
olympics,pro,4,all,grok-3
olympics,pro,41,neither,grok-3
olympics,pro,180,pro,grok-3
ronald-reagan,con,160,75con,grok-3
ronald-reagan,con,30,75pro,grok-3
ronald-reagan,con,103,all,grok-3
ronald-reagan,con,179,con,grok-3
ronald-reagan,other,1,con,grok-3
ronald-reagan,pro,20,75con,grok-3
ronald-reagan,pro,150,75pro,grok-3
ronald-reagan,pro,77,all,grok-3
ronald-reagan,pro,90,neither,grok-3
ronald-reagan,pro,180,pro,grok-3
saturday-halloween,con,146,75con,grok-3
saturday-halloween,con,25,75pro,grok-3
saturday-halloween,con,82,all,grok-3
saturday-halloween,con,180,con,grok-3
saturday-halloween,con,11,neither,grok-3
saturday-halloween,pro,34,75con,grok-3
saturday-halloween,pro,155,75pro,grok-3
saturday-halloween,pro,98,all,grok-3
saturday-halloween,pro,79,neither,grok-3
saturday-halloween,pro,180,pro,grok-3
school-uniforms,con,109,75con,grok-3
school-uniforms,con,24,75pro,grok-3
school-uniforms,con,52,all,grok-3
school-uniforms,con,178,con,grok-3
school-uniforms,con,14,neither,grok-3
school-uniforms,other,1,75con,grok-3
school-uniforms,pro,70,75con,grok-3
school-uniforms,pro,156,75pro,grok-3
school-uniforms,pro,128,all,grok-3
school-uniforms,pro,2,con,grok-3
school-uniforms,pro,76,neither,grok-3
school-uniforms,pro,180,pro,grok-3
standardized-tests,con,139,75con,grok-3
standardized-tests,con,24,75pro,grok-3
standardized-tests,con,87,all,grok-3
standardized-tests,con,180,con,grok-3
standardized-tests,con,64,neither,grok-3
standardized-tests,pro,41,75con,grok-3
standardized-tests,pro,156,75pro,grok-3
standardized-tests,pro,93,all,grok-3
standardized-tests,pro,26,neither,grok-3
standardized-tests,pro,180,pro,grok-3
teacher-tenure,con,159,75con,grok-3
teacher-tenure,con,36,75pro,grok-3
teacher-tenure,con,120,all,grok-3
teacher-tenure,con,180,con,grok-3
teacher-tenure,con,38,neither,grok-3
teacher-tenure,pro,21,75con,grok-3
teacher-tenure,pro,144,75pro,grok-3
teacher-tenure,pro,60,all,grok-3
teacher-tenure,pro,52,neither,grok-3
teacher-tenure,pro,180,pro,grok-3
us-penny,con,180,75con,grok-3
us-penny,con,143,75pro,grok-3
us-penny,con,180,all,grok-3
us-penny,con,180,con,grok-3
us-penny,con,85,neither,grok-3
us-penny,con,13,pro,grok-3
us-penny,pro,37,75pro,grok-3
us-penny,pro,5,neither,grok-3
us-penny,pro,167,pro,grok-3
