issue,issue_stance,count,case,model
abortion,con,50,75con,llama-3.1-8b
abortion,con,81,con,llama-3.1-8b
abortion,pro,130,75con,llama-3.1-8b
abortion,pro,180,75pro,llama-3.1-8b
abortion,pro,180,all,llama-3.1-8b
abortion,pro,99,con,llama-3.1-8b
abortion,pro,90,neither,llama-3.1-8b
abortion,pro,180,pro,llama-3.1-8b
alternative-energy,con,76,75con,llama-3.1-8b
alternative-energy,con,5,75pro,llama-3.1-8b
alternative-energy,con,5,all,llama-3.1-8b
alternative-energy,con,161,con,llama-3.1-8b
alternative-energy,pro,104,75con,llama-3.1-8b
alternative-energy,pro,175,75pro,llama-3.1-8b
alternative-energy,pro,175,all,llama-3.1-8b
alternative-energy,pro,19,con,llama-3.1-8b
alternative-energy,pro,90,neither,llama-3.1-8b
alternative-energy,pro,180,pro,llama-3.1-8b
american-civil-liberties-union-aclu,con,39,75con,llama-3.1-8b
american-civil-liberties-union-aclu,con,180,con,llama-3.1-8b
american-civil-liberties-union-aclu,pro,141,75con,llama-3.1-8b
american-civil-liberties-union-aclu,pro,180,75pro,llama-3.1-8b
american-civil-liberties-union-aclu,pro,180,all,llama-3.1-8b
american-civil-liberties-union-aclu,pro,90,neither,llama-3.1-8b
american-civil-liberties-union-aclu,pro,180,pro,llama-3.1-8b
american-socialism,con,139,75con,llama-3.1-8b
american-socialism,con,78,all,llama-3.1-8b
american-socialism,con,180,con,llama-3.1-8b
american-socialism,con,15,neither,llama-3.1-8b
american-socialism,pro,41,75con,llama-3.1-8b
american-socialism,pro,180,75pro,llama-3.1-8b
american-socialism,pro,102,all,llama-3.1-8b
american-socialism,pro,75,neither,llama-3.1-8b
american-socialism,pro,180,pro,llama-3.1-8b
animal-dissection,con,88,75con,llama-3.1-8b
animal-dissection,con,37,75pro,llama-3.1-8b
animal-dissection,con,76,all,llama-3.1-8b
animal-dissection,con,122,con,llama-3.1-8b
animal-dissection,con,30,neither,llama-3.1-8b
animal-dissection,con,15,pro,llama-3.1-8b
animal-dissection,pro,92,75con,llama-3.1-8b
animal-dissection,pro,143,75pro,llama-3.1-8b
animal-dissection,pro,104,all,llama-3.1-8b
animal-dissection,pro,58,con,llama-3.1-8b
animal-dissection,pro,60,neither,llama-3.1-8b
animal-dissection,pro,165,pro,llama-3.1-8b
animal-testing,con,129,75con,llama-3.1-8b
animal-testing,con,54,75pro,llama-3.1-8b
animal-testing,con,79,all,llama-3.1-8b
