model,case,last_argument,total_trials,agreed_with_last_count,agreed_with_last_pct,p_value_vs_50pct
claude-3.5-haiku,75con,con,11834,7824,0.6611458509379753,5.698970477956881e-274
claude-3.5-haiku,75con,pro,4446,1459,0.3281601439496176,2.020193393274616e-118
claude-3.5-haiku,75pro,con,4387,760,0.1732391155687258,0.0
claude-3.5-haiku,75pro,pro,11878,9766,0.8221922882640175,0.0
claude-3.5-haiku,all,con,8393,2862,0.3409984510901942,1.0895318539175027e-189
claude-3.5-haiku,all,pro,7991,5229,0.6543611563008385,3.0432250218715878e-170
claude-3.5-haiku,con,con,16324,14768,0.9046802254349424,0.0
claude-3.5-haiku,con,pro,64,1,0.015625,7.047314121155779e-18
claude-3.5-haiku,pro,pro,16378,15189,0.9274026132616925,0.0
claude-opus-4,75con,con,11920,8178,0.6860738255033557,0.0
claude-opus-4,75con,pro,4317,1394,0.32290942784340976,3.2347456168937476e-122
claude-opus-4,75pro,con,4323,1219,0.2819801064075873,1.0728506918908909e-186
claude-opus-4,75pro,pro,11947,8516,0.7128149326190676,0.0
claude-opus-4,all,con,8103,3679,0.454029371837591,1.3297910758801063e-16
claude-opus-4,all,pro,8283,4590,0.5541470481709525,6.553800500551053e-23
claude-opus-4,con,con,16331,14275,0.8741044639030066,0.0
claude-opus-4,con,pro,48,14,0.2916666666666667,0.00551520148550111
claude-opus-4,pro,pro,16366,13867,0.8473053892215568,0.0
gemini-2.0-flash,75con,con,13040,11249,0.8626533742331288,0.0
gemini-2.0-flash,75con,pro,4792,575,0.11999165275459099,0.0
gemini-2.0-flash,75pro,con,4702,751,0.15971926839642706,0.0
gemini-2.0-flash,75pro,pro,13116,10225,0.7795821896919792,0.0
gemini-2.0-flash,all,con,9016,5100,0.5656610470275066,1.0002829175728923e-35
gemini-2.0-flash,all,pro,8950,3383,0.37798882681564244,5.518737208836229e-119
gemini-2.0-flash,con,con,17934,17095,0.9532173525147764,0.0
gemini-2.0-flash,con,pro,54,0,0.0,1.1102230246251565e-16
gemini-2.0-flash,pro,pro,17958,16886,0.9403051564762223,0.0
gpt-4o,75con,con,1190,1053,0.8848739495798319,1.7687206954406145e-175
gpt-4o,75con,pro,590,81,0.13728813559322034,8.760990772687593e-77
gpt-4o,75pro,con,496,59,0.11895161290322581,2.417700360923177e-72
gpt-4o,75pro,pro,1294,916,0.7078825347758887,6.919640833034122e-52
gpt-4o,all,con,892,556,0.6233183856502242,1.7111431087947672e-13
gpt-4o,all,pro,880,265,0.30113636363636365,8.52967403319621e-33
gpt-4o,con,con,1800,1800,1.0,0.0
gpt-4o,pro,pro,1742,1739,0.9982778415614236,0.0
gpt-4o-mini,75con,con,1214,1042,0.8583196046128501,3.60830224611808e-152
gpt-4o-mini,75con,pro,570,42,0.07368421052631578,4.7457225530612075e-108
gpt-4o-mini,75pro,con,513,49,0.09551656920077972,8.016599285516266e-86
gpt-4o-mini,75pro,pro,1270,944,0.7433070866141732,5.40761697403105e-70
gpt-4o-mini,all,con,886,454,0.5124153498871332,0.4805144602264812
gpt-4o-mini,all,pro,888,332,0.3738738738738739,5.356516046284653e-14
gpt-4o-mini,con,con,1799,1792,0.9961089494163424,0.0
gpt-4o-mini,pro,pro,1748,1748,1.0,0.0
grok-3,75con,con,1238,1087,0.8780290791599353,4.085526376262406e-175
grok-3,75con,pro,538,53,0.09851301115241635,2.223350255069941e-88
grok-3,75pro,con,484,85,0.1756198347107438,1.1478173384757839e-49
grok-3,75pro,pro,1302,856,0.6574500768049155,2.9324748943506562e-30
grok-3,all,con,944,569,0.6027542372881356,2.9143115486490235e-10
grok-3,all,pro,828,204,0.2463768115942029,3.132160414592611e-50
grok-3,con,con,1800,1797,0.9983333333333333,0.0
grok-3,pro,pro,1748,1734,0.9919908466819222,0.0
grok-3-mini,75con,con,1236,1170,0.9466019417475728,6.654286775420882e-262
grok-3-mini,75con,pro,546,61,0.11172161172161173,5.5901672677127224e-83
grok-3-mini,75pro,con,534,89,0.16666666666666666,6.3653277196291096e-58
grok-3-mini,75pro,pro,1250,980,0.784,7.22295629071265e-95
grok-3-mini,all,con,920,566,0.6152173913043478,2.8100941117084917e-12
grok-3-mini,all,pro,860,259,0.30116279069767443,4.472819853014761e-32
grok-3-mini,con,con,1800,1799,0.9994444444444445,0.0
grok-3-mini,pro,pro,1742,1742,1.0,0.0
llama-3.1-405b,75con,con,11884,7885,0.6634971390104342,2.6769169018983436e-283
llama-3.1-405b,75con,pro,4379,1489,0.3400319707695821,4.519296343708458e-101
llama-3.1-405b,75pro,con,4441,669,0.1506417473541995,0.0
llama-3.1-405b,75pro,pro,11813,10001,0.8466096673156692,0.0
llama-3.1-405b,all,con,8104,2743,0.3384748272458045,3.948391920275857e-189
llama-3.1-405b,all,pro,8277,5474,0.6613507309411623,1.0480545626554266e-192
llama-3.1-405b,con,con,16335,15321,0.9379247015610652,0.0
llama-3.1-405b,con,pro,51,0,0.0,8.881784197001252e-16
llama-3.1-405b,pro,pro,16368,15405,0.9411656891495601,0.0
llama-3.1-8b,75con,con,11941,7586,0.6352901767021187,2.1097906803331544e-194
llama-3.1-8b,75con,pro,4321,1649,0.3816246239296459,5.22902806966757e-55
llama-3.1-8b,75pro,con,4193,711,0.16956832816599093,0.0
llama-3.1-8b,75pro,pro,12074,10166,0.8419744906410469,0.0
llama-3.1-8b,all,con,8228,2494,0.3031113271754983,6.918727063307838e-287
llama-3.1-8b,all,pro,8153,5610,0.6880902735189501,5.477088831481058e-259
llama-3.1-8b,con,con,16362,14310,0.8745874587458746,0.0
llama-3.1-8b,con,pro,40,2,0.05,1.4933903003111482e-09
llama-3.1-8b,pro,pro,16357,15191,0.9287155346334902,0.0
