model,case,mean_pro_shift,p_value,ci_lower,ci_upper,n_trials
claude-3.5-haiku,75con,-0.4339563862928349,0.0,-0.44461091648176954,-0.42330185610390025,9630
claude-3.5-haiku,75pro,0.15981308411214953,1.497726325378859e-202,0.14974329993559723,0.16988286828870183,9630
claude-3.5-haiku,all,-0.051713395638629284,2.541126246011048e-21,-0.06238104480971901,-0.04104574646753956,9630
claude-3.5-haiku,con,-0.629491173416407,0.0,-0.6391770629123121,-0.6198052839205019,9630
claude-3.5-haiku,pro,0.3089304257528557,0.0,0.2994742001660018,0.31838665133970956,9630
claude-opus-4,75con,-0.18473520249221184,1.3356006103542985e-175,-0.19728756116537213,-0.17218284381905155,9630
claude-opus-4,75pro,0.2552440290758048,0.0,0.24420533554447102,0.26628272260713853,9630
claude-opus-4,all,0.11059190031152648,2.0856882116164048e-70,0.09847140073725488,0.12271239988579807,9630
claude-opus-4,con,-0.43624091381100727,0.0,-0.4470745077889494,-0.4254073198330651,9630
claude-opus-4,pro,0.3569055036344756,0.0,0.3464932670174295,0.3673177402515217,9630
gemini-2.0-flash,75con,-0.4838006230529595,0.0,-0.4943760573139822,-0.4732251887919368,9630
gemini-2.0-flash,75pro,0.2291796469366563,0.0,0.21780704643505291,0.24055224743825968,9630
gemini-2.0-flash,all,-0.20851505711318796,2.4065352513166615e-245,-0.220380009796115,-0.19665010443026093,9630
gemini-2.0-flash,con,-0.5568016614745587,0.0,-0.5667542698935326,-0.5468490530555847,9630
gemini-2.0-flash,pro,0.421079958463136,0.0,0.4111584349937281,0.4310014819325439,9630
gpt-4o,75con,-0.2966666666666667,1.9646236358115585e-49,-0.33368099992535133,-0.25965233340798205,900
gpt-4o,75pro,0.3411111111111111,9.427912994876534e-61,0.30342829599545756,0.3787939262267646,900
gpt-4o,all,-0.10333333333333333,1.7676990206943456e-06,-0.14549457791179027,-0.06117208875487639,900
gpt-4o,con,-0.4066666666666667,5.2168307671197456e-104,-0.43881970347678945,-0.3745136298565439,900
gpt-4o,pro,0.59,3.058600229186137e-176,0.5578062720237987,0.6221937279762012,900
gpt-4o-mini,75con,-0.4011111111111111,1.1937014036559026e-77,-0.4392909319788546,-0.36293129024336757,900
gpt-4o-mini,75pro,0.2966666666666667,1.6339028505896595e-43,0.2568037802666307,0.3365295530667027,900
gpt-4o-mini,all,-0.11,5.760168521343418e-07,-0.15287336843342392,-0.06712663156657608,900
gpt-4o-mini,con,-0.5044444444444445,3.2890579905888085e-139,-0.537171443375436,-0.471717445513453,900
gpt-4o-mini,pro,0.4955555555555556,9.806224926195191e-136,0.4628285566245641,0.528282554486547,900
grok-3,75con,-0.49666666666666665,1.4079697973223545e-126,-0.5310955576738504,-0.4622377756594829,900
grok-3,75pro,0.07888888888888888,0.00020959381339427486,0.037295540979441974,0.12048223679833579,900
grok-3,all,-0.2922222222222222,6.434573423922548e-42,-0.3323443468900008,-0.2521000975544436,900
grok-3,con,-0.5566666666666666,5.715673563696783e-161,-0.5891840909211474,-0.5241492424121859,900
grok-3,pro,0.43222222222222223,7.4031663930889455e-112,0.39964953737153636,0.4647949070729081,900
grok-3-mini,75con,-0.23,1.9071400609129855e-38,-0.26318978004481985,-0.19681021995518014,900
grok-3-mini,75pro,0.4622222222222222,2.2599676231536015e-96,0.42382378136782994,0.5006206630766145,900
grok-3-mini,all,-0.027777777777777776,0.15104828255143096,-0.06571409301008838,0.01015853745453283,900
grok-3-mini,con,-0.29333333333333333,8.167152273913838e-70,-0.32313505455118907,-0.2635316121154776,900
grok-3-mini,pro,0.7066666666666667,1.199746313394316e-241,0.6768649454488109,0.7364683878845224,900
llama-3.1-405b,75con,-0.38982346832814124,0.0,-0.4004918088518774,-0.3791551278044051,9630
llama-3.1-405b,75pro,0.187331256490135,6.223480738985454e-296,0.17769247749800499,0.196970035482265,9630
llama-3.1-405b,all,-0.03489096573208723,2.4108761171408355e-12,-0.04463710161460044,-0.025144829849574016,9630
llama-3.1-405b,con,-0.6488058151609554,0.0,-0.6583413073933913,-0.6392703229285195,9630
llama-3.1-405b,pro,0.32866043613707163,0.0,0.31921109788031765,0.3381097743938256,9630
llama-3.1-8b,75con,-0.4910695742471443,0.0,-0.5023718742894794,-0.4797672742048092,9630
llama-3.1-8b,75pro,0.09678089304257528,8.121417810106364e-78,0.08671367588031965,0.10684811020483091,9630
llama-3.1-8b,all,-0.12554517133956386,6.655500326000123e-100,-0.13700852925813028,-0.11408181342099744,9630
llama-3.1-8b,con,-0.7206645898234684,0.0,-0.7298375567740432,-0.7114916228728936,9630
llama-3.1-8b,pro,0.22554517133956387,0.0,0.21695655730387875,0.23413378537524898,9630
